cou_code;cou_iden;cou_name;cou_nati
1;content Car la;virtual Riyal;Steel optimize
2;encoding a Tasty;Account Soft;Plastic even-keeled
3;clear-thinking;Fresh;back RAM Chips
4;deposit generation Bulgarian;Credit Enterprise-wide Stagiaire;maximized indexing
5;Rubber;cross-platform Handcrafted;Cambridgeshire Seychelles
6;invoice;fuchsia robust bandwidth;Haute-Normandie Auvergne
7;la Computers;backing Iceland;Sleek Languedoc-Roussillon Somalie
8;Portugal markets c;program wireless;Cambridgeshire hack deposit
9;Directeur Versatile;Guinée;Steel Rustic
10;Focused;parsing;mindshare
