cur_code;cur_alph_code;cur_defa_numb_deci;cur_labe;cur_symb;cur_iden
1;architectures Infrastructure Manat;12236;primary SAS invoice;Ville Table;ADP optical Communications
2;vortals Wyoming invoice;62862;Hong Orchestrator;Quality matrix;Beauty engage Shoes
3;Identity enable;81048;Investor;Avon Mouse;Forward turquoise Computers
4;National;95354;wireless;Dalasi;Bike Decentralized Account
5;Borders Applications AGP;21304;bypassing;generate Licensed GB;Summit
6;compelling utilize online;37924;invoice;communities Program HTTP;override
7;Cross-platform HDD;88329;feed benchmark synthesize;incubate;mission-critical calculate administration
8;Course;53295;digital;Producer;XSS Uzbekistan intermediate
9;Bhutan;18069;bus Frozen Buckinghamshire;Handcrafted;Designer Optional
10;Dynamic;69826;Steel;Soap Oro Solutions;Account Facilitator
